Location,point
"Barossa Valley, South Australia, Australia","(-34.61341495, 138.93854551693641, 0.0)"
"Barossa, South Australia, Australia","(-34.61341495, 138.93854551693641, 0.0)"
"Chalk Hill, California, US","(34.6140902, -120.1462082, 0.0)"
"Green Valley, California, US","(34.6200885, -118.4131734, 0.0)"
"Mount Barker, Western Australia, Australia","(-34.6220807, 117.6641727, 0.0)"
"Happy Canyon of Santa Barbara, California, US","(34.624913, -119.982551, 0.0)"
"Eden Valley, South Australia, Australia","(-34.6666979, 139.12996486291587, 0.0)"
"Santa Barbara County, California, US","(34.7136533, -119.9858232, 0.0)"
"Argentina, Other, Argentina","(-34.7165244, -58.275414, 0.0)"
"Catamarca, Other, Argentina","(-34.7165244, -58.275414, 0.0)"
"Gundagai, New South Wales, Australia","(-34.80940095, 148.10881410677436, 0.0)"
"Adelaide Hills, South Australia, Australia","(-34.901351649999995, 138.8293202817461, 0.0)"
"Lenswood, South Australia, Australia","(-34.920215, 138.8284007, 0.0)"
"South Australia, South Australia, Australia","(-34.920630700000004, 138.60396883837132, 0.0)"
"Adelaide, South Australia, Australia","(-34.9281805, 138.5999312, 0.0)"
"Piccadilly Valley, South Australia, Australia","(-34.9822479, 138.7262528, 0.0)"
"Santa Maria Valley, California, US","(34.9941664, -120.557098, 0.0)"
"Clarendon, South Australia, Australia","(-35.1092718, 138.6293077, 0.0)"
"Arroyo Grande Valley, California, US","(35.1583532, -120.5308411, 0.0)"
"Edna Valley, California, US","(35.2038641, -120.6129476, 0.0)"
"McLaren Vale, South Australia, Australia","(-35.2172617, 138.5416998, 0.0)"
"New Mexico, New Mexico, US","(35.2525419, -106.2036349, 0.0)"
"Riverina, New South Wales, Australia","(-35.29288455, 148.2111420353283, 0.0)"
"Langhorne Creek, South Australia, Australia","(-35.295938, 139.0364451, 0.0)"
"San Luis Obispo, California, US","(35.3540209, -120.3757163, 0.0)"
"San Luis Obispo County, California, US","(35.3540209, -120.3757163, 0.0)"
"Currency Creek, South Australia, Australia","(-35.4525549, 138.7598074, 0.0)"
"Fleurieu Peninsula, South Australia, Australia","(-35.5082015, 138.47774189265812, 0.0)"
"York Mountain, California, US","(35.546083, -120.8332336, 0.0)"
"Paso Robles, California, US","(35.6267654, -120.6912456, 0.0)"
"Tumbarumba, New South Wales, Australia","(-35.7764898, 148.010062, 0.0)"
"La Consulta, Mendoza Province, Argentina","(-35.8145006, -61.8948752, 0.0)"
"Kangaroo Island, South Australia, Australia","(-35.8182635, 137.15661254022396, 0.0)"
"Hames Valley, California, US","(35.8685716, -120.8456156, 0.0)"
"Yadkin Valley, North Carolina, US","(36.0223527, -81.4900963, 0.0)"
"Rutherglen, Victoria, Australia","(-36.0538594, 146.4601363, 0.0)"
"Nevada, Nevada, US","(36.107155399999996, -115.14183186108524, 0.0)"
"San Lucas, California, US","(36.127570500000004, -121.02108317961165, 0.0)"
"Alpine Valleys, Victoria, Australia","(-36.1691304, 148.0248925, 0.0)"
"Swan Creek, North Carolina, US","(36.1784676, -80.8689607, 0.0)"
"Monterey County, California, US","(36.2231079, -121.3877428, 0.0)"
"Monterey, California, US","(36.2231079, -121.3877428, 0.0)"
"Beechworth, Victoria, Australia","(-36.3594701, 146.6870096, 0.0)"
"Santa Barbara-Monterey, California, US","(36.44019875, -121.31841319547219, 0.0)"
"Chalone, California, US","(36.4476103, -121.1956483, 0.0)"
"Carmel Valley, California, US","(36.48290245, -121.71417288463448, 0.0)"
"Padthaway, South Australia, Australia","(-36.5860356, 140.52187338228197, 0.0)"
"Goulburn Valley, Victoria, Australia","(-36.6190989, 145.2334651, 0.0)"
"San Benito County, California, US","(36.6248089, -121.1177379, 0.0)"
"Jerez, Andalucia, Spain","(36.6816936, -6.1377402, 0.0)"
"King Valley, Victoria, Australia","(-36.694793, 146.4082840631994, 0.0)"
"Mt. Harlan, California, US","(36.6974604, -121.405214, 0.0)"
"Mount Harlan, California, US","(36.6974604, -121.405214, 0.0)"
"Cienega Valley, California, US","(36.7186762, -121.3543641, 0.0)"
"Grampians, Victoria, Australia","(-36.718805, 142.22095086226386, 0.0)"
"Málaga, Andalucia, Spain","(36.7213028, -4.4216366, 0.0)"
"Paicines, California, US","(36.7285708, -121.2785409, 0.0)"
"Montilla-Moriles, Andalucia, Spain","(36.7289133, -4.2997395, 0.0)"
"Bendigo, Victoria, Australia","(-36.7588767, 144.2825931, 0.0)"
"Manzanilla-Sanlúcar de Barrameda, Andalucia, Spain","(36.7871222, -6.3480547, 0.0)"
"Medrano, Mendoza Province, Argentina","(-36.7958068, -63.3404062, 0.0)"
"Heathcote, Victoria, Australia","(-36.9160908, 144.7033003, 0.0)"
"Madera, California, US","(36.9418115, -120.17143817857142, 0.0)"
"Limestone Coast, South Australia, Australia","(-36.966833, 139.7525724, 0.0)"
"Mount Benson, South Australia, Australia","(-37.0328183, 139.8112521, 0.0)"
"Santa Cruz County, California, US","(37.050096, -121.9905908, 0.0)"
"Ben Lomond Mountain, California, US","(37.1309414, -122.1682351, 0.0)"
"Wrattonbully, South Australia, Australia","(-37.1677831, 140.9458691, 0.0)"
"Santa Cruz Mountains, California, US","(37.2117409, -122.0582599, 0.0)"
"Santa Clara Valley, California, US","(37.2333253, -121.6846349, 0.0)"
"Santa Clara County, California, US","(37.2333253, -121.6846349, 0.0)"
"Coonawarra, South Australia, Australia","(-37.2909105, 140.8346628, 0.0)"
"Dry Creek Valley, California, US","(37.2932406, -121.907998, 0.0)"
"Virginia, Virginia, US","(37.3197653, -121.8901257, 0.0)"
"Pyrenees, Victoria, Australia","(-37.3301195, 143.42380230588194, 0.0)"
"Oak Knoll District, California, US","(37.420967000000005, -122.17263007103175, 0.0)"
"Macedon Ranges, Victoria, Australia","(-37.4214267, 144.5636447, 0.0)"
"Stanislaus County, California, US","(37.5500871, -121.0501425, 0.0)"
"El Pomar District, California, US","(37.579658, -121.9933109, 0.0)"
"Livermore Valley, California, US","(37.6820583, -121.7680531, 0.0)"
"San Francisco Bay, California, US","(37.71402905, -122.30779415179862, 0.0)"
"Yarra Valley, Victoria, Australia","(-37.7295526, 145.4981195, 0.0)"
"Strathbogie Ranges, Victoria, Australia","(-37.8056262, 145.3319978, 0.0)"
"Knights Valley, California, US","(37.8196499, -120.6721494, 0.0)"
"Henty, South Australia, Australia","(-37.8322828, 140.7945633, 0.0)"
"Central Victoria, Victoria, Australia","(-37.8326622, 144.9567877, 0.0)"
"Alta Mesa, California, US","(37.8384635, -122.1219184, 0.0)"
"North Coast, California, US","(37.858337, -122.2447394, 0.0)"
"McDowell Valley, California, US","(37.8627046, -122.4227496, 0.0)"
"Gippsland, Victoria, Australia","(-37.87437, 146.91145036930226, 0.0)"
"Contra Costa County, California, US","(37.9034806, -121.9175345, 0.0)"
"Lime Kiln Valley, California, US","(37.940762, -120.357901, 0.0)"
"Central Valley, California, US","(38.0, -121.4, 0.0)"
"Albemarle County, Virginia, US","(38.0085107, -78.6086754, 0.0)"
"Monticello, Virginia, US","(38.01031385, -78.45236720073748, 0.0)"
"Kentucky, Kentucky, US","(38.027035749999996, -84.50481984038481, 0.0)"
"Marin County, California, US","(38.0409144, -122.6199638, 0.0)"
"Bullas, Levante, Spain","(38.0523189, -1.6601109, 0.0)"
"Lodi, California, US","(38.097198, -121.3878496465736, 0.0)"
"Mendocino-Solano, California, US","(38.1081962, -122.2331112, 0.0)"
"Geelong, Victoria, Australia","(-38.1492813, 144.3598269, 0.0)"
"Sonoma-Napa, California, US","(38.168540300000004, -122.3306377262485, 0.0)"
"Sonoma-Napa-Lake, California, US","(38.168540300000004, -122.3306377262485, 0.0)"
"San Antonio Valley, California, US","(38.1838069, -122.5913723, 0.0)"
"Missouri, Missouri, US","(38.1973133, -90.3998884, 0.0)"
"Jahant, California, US","(38.204588, -121.177821, 0.0)"
"Solano County, California, US","(38.2218938, -121.9163555, 0.0)"
"Suisun Valley, California, US","(38.2382474, -122.040244, 0.0)"
"Mornington Peninsula, Victoria, Australia","(-38.243314999999996, 145.08854316331724, 0.0)"
"Calaveras County, California, US","(38.2558181, -120.4981492, 0.0)"
"Bellarine Peninsula, Victoria, Australia","(-38.2575643, 144.6125111, 0.0)"
"Carneros-Napa Valley, California, US","(38.2585001, -122.3075736, 0.0)"
"Almansa, Central Spain, Spain","(38.280555, -0.7158212, 0.0)"
"Coombsville, California, US","(38.2962127, -122.260358, 0.0)"
"Napa Valley, California, US","(38.2971367, -122.2855293, 0.0)"
"Napa, California, US","(38.2971367, -122.2855293, 0.0)"
"Mokelumne River, California, US","(38.3077953, -120.7314866, 0.0)"
"Sonoma Mountain, California, US","(38.3229698, -122.5749837, 0.0)"
"Mount Veeder, California, US","(38.3793566, -122.4477575, 0.0)"
"Yountville, California, US","(38.4022008, -122.3595063, 0.0)"
"Clarksburg, California, US","(38.4204651, -121.5271772, 0.0)"
"Bennett Valley, California, US","(38.4254354, -122.6649553, 0.0)"
"San Juan, Other, Argentina","(38.436601, -109.377111, 0.0)"
"Oakville, California, US","(38.4368549, -122.4022007, 0.0)"
"Sonoma-Mendocino, California, US","(38.4469181, -122.7180726, 0.0)"
"Amador County, California, US","(38.449089, -120.5911018, 0.0)"
"Atlas Peak, California, US","(38.4507431, -122.2627529, 0.0)"
"Rutherford, California, US","(38.458521, -122.422479, 0.0)"
"Sonoma Coast, California, US","(38.47023425, -123.15474461850283, 0.0)"
"Jumilla, Levante, Spain","(38.4740804, -1.3262211, 0.0)"
"Shenandoah Valley, Virginia, US","(38.4851245, -78.625016, 0.0)"
"Napa County, California, US","(38.4898675, -122.3218414, 0.0)"
"Solano County Green Valley, California, US","(38.49452865000001, -122.0328691654142, 0.0)"
"Fiddletown, California, US","(38.5037966, -120.7554891, 0.0)"
"St. Helena, California, US","(38.5052288, -122.4700424, 0.0)"
"Sonoma Valley, California, US","(38.5110803, -122.8473388, 0.0)"
"Sonoma County, California, US","(38.5110803, -122.8473388, 0.0)"
"Sonoma, California, US","(38.5110803, -122.8473388, 0.0)"
"Northern Sonoma, California, US","(38.5177297, -122.9738437, 0.0)"
"Valencia, Levante, Spain","(38.5377163, -0.12495685682197755, 0.0)"
"Alicante, Levante, Spain","(38.53834335, -0.13505738626235478, 0.0)"
"Alicante-Marina Alta, Levante, Spain","(38.53834335, -0.13505738626235478, 0.0)"
"Napa-Sonoma, California, US","(38.540524149999996, -122.54835743348914, 0.0)"
"Napa-Sonoma-Lake, California, US","(38.540524149999996, -122.54835743348914, 0.0)"
"Chiles Valley, California, US","(38.5504546, -121.6947431, 0.0)"
"Fort Ross-Seaview, California, US","(38.5571348, -123.2644524, 0.0)"
"Augusta, Missouri, US","(38.5725523, -90.8820811, 0.0)"
"Calistoga, California, US","(38.5787966, -122.5797054, 0.0)"
"Howell Mountain, California, US","(38.5812999, -122.4510974, 0.0)"
"Fair Play, California, US","(38.5935173, -120.6604855, 0.0)"
"Sonoma County-Napa County, California, US","(38.6487984, -122.731761, 0.0)"
"Napa County-Sonoma County, California, US","(38.6487984, -122.731761, 0.0)"
"Alexander Valley, California, US","(38.6712308, -122.8278697, 0.0)"
"Guenoc Valley, California, US","(38.715889, -122.487891, 0.0)"
"Yolo County, California, US","(38.7184542, -121.9059001, 0.0)"
"El Dorado, California, US","(38.7574137, -120.5276129, 0.0)"
"El Dorado County, California, US","(38.7574137, -120.5276129, 0.0)"
"Valdepeñas, Central Spain, Spain","(38.7632817, -3.3961361, 0.0)"
"Extremadura, Central Spain, Spain","(38.797250399999996, -6.241954383350638, 0.0)"
"Burgundy, Burgundy, France","(38.7984361, -77.0958528780524, 0.0)"
"Sierra Foothills, California, US","(38.82549575, -121.18771214029368, 0.0)"
"Spring Mountain District, California, US","(38.888897650000004, -77.04040425, 0.0)"
"Washington, Washington, US","(38.8949924, -77.0365581, 0.0)"
"San Rafael, Mendoza Province, Argentina","(-38.9234262, -68.0023007, 0.0)"
"Neuquén, Other, Argentina","(-38.9521287, -68.2279629, 0.0)"
"Middleburg, Virginia, US","(38.9690189, -77.7355056, 0.0)"
"Tupungato, Mendoza Province, Argentina","(-38.9809013, -67.841087, 0.0)"
"Clear Lake, California, US","(39.0319478, -122.79947762463578, 0.0)"
"La Mancha, Central Spain, Spain","(39.0442636, -3.58498245567418, 0.0)"
"Castilla La Mancha, Central Spain, Spain","(39.0442636, -3.58498245567418, 0.0)"
"Lake County, California, US","(39.0505411, -122.7776556, 0.0)"
"High Valley, California, US","(39.0518681, -122.6883413, 0.0)"
"Anderson Valley, California, US","(39.0600021, -123.4305338, 0.0)"
"Placer County, California, US","(39.1012064, -120.7650606, 0.0)"
"Lake County-Mendocino County, California, US","(39.1666212, -123.0703036, 0.0)"
"Sardinia, Sicily & Sardinia, Italy","(39.2564254, 9.0600276, 0.0)"
"Redwood Valley, California, US","(39.2654449, -123.2044496, 0.0)"
"Russian River Valley, California, US","(39.2807189, -123.2098085, 0.0)"
"North Yuba, California, US","(39.2839755, -121.3556818, 0.0)"
"Potter Valley, California, US","(39.315214600000004, -123.11246387038575, 0.0)"
"Mendocino County, California, US","(39.3176491, -123.4126399, 0.0)"
"Mendocino, California, US","(39.3176491, -123.4126399, 0.0)"
"Mendocino Ridge, California, US","(39.3176491, -123.4126399, 0.0)"
"Mendocino-Lake, California, US","(39.3176491, -123.4126399, 0.0)"
"Nevada County, California, US","(39.3540335, -120.8089843, 0.0)"
"Utiel-Requena, Levante, Spain","(39.5229289, -1.1495788, 0.0)"
"Toledo, Central Spain, Spain","(39.6208638, -4.4892414, 0.0)"
"Colorado, Colorado, US","(39.6796152, -104.9376995, 0.0)"
"Massachusetts, Massachusetts, US","(39.7729923, -86.15140127048346, 0.0)"
"Capay Valley, California, US","(39.7965477, -122.084428, 0.0)"
"Uclés, Central Spain, Spain","(39.9809067, -2.8614954, 0.0)"
"Grand Valley, Colorado, US","(40.0990074, -106.1366966, 0.0)"
"Madrid, Central Spain, Spain","(40.4237276, -3.6899043, 0.0)"
"Mentrida, Central Spain, Spain","(40.4324149, -3.7014806, 0.0)"
"Ohio River Valley, Ohio, US","(40.5263918, -80.624671, 0.0)"
"Humboldt County, California, US","(40.5997415, -123.8997734, 0.0)"
"Trinity County, California, US","(40.6053256, -123.171268, 0.0)"
"New York, New York, US","(40.7127281, -74.0060152, 0.0)"
"Pennsylvania, Pennsylvania, US","(40.8034484, -77.85911884037719, 0.0)"
"Long Island, New York, US","(40.85149705, -73.0994258107431, 0.0)"
"Terra Alta, Catalonia, Spain","(41.027352300000004, 0.4105997375190444, 0.0)"
"Montsant, Catalonia, Spain","(41.117055, 1.2110712, 0.0)"
"Tarragona, Catalonia, Spain","(41.1172364, 1.2546057, 0.0)"
"Manchuela, Central Spain, Spain","(41.1449359, -4.4596223, 0.0)"
"California-Oregon, California, US","(41.209752, -122.2716101, 0.0)"
"Priorat, Catalonia, Spain","(41.2137983, 0.811623628426715, 0.0)"
"Penedès, Catalonia, Spain","(41.2890327, 1.5934545, 0.0)"
"The Hamptons, Long Island, New York, US","(41.31706925, -74.12712223648614, 0.0)"
"Catalunya, Catalonia, Spain","(41.387434400000004, 2.1690313098684193, 0.0)"
"Catalonia, Catalonia, Spain","(41.3960809, 2.187968871820229, 0.0)"
"Conca de Barberà, Catalonia, Spain","(41.44389565, 1.1885113323042593, 0.0)"
"Alella, Catalonia, Spain","(41.4952867, 2.2942758, 0.0)"
"Siskiyou County, California, US","(41.5007223, -122.54435414752092, 0.0)"
"Costers del Segre, Catalonia, Spain","(41.502298249999996, 0.8273990115524253, 0.0)"
"Southeastern New England, Massachusetts, US","(41.52136945, -70.66712316353505, 0.0)"
"Iowa, Iowa, US","(41.66586935, -91.57334352186675, 0.0)"
"Isle St. George, Ohio, US","(41.7176504, -82.8153332, 0.0)"
"Grand River Valley, Ohio, US","(41.7361547, -81.2812144, 0.0)"
"Pla de Bages, Catalonia, Spain","(41.7785429, 1.8904077, 0.0)"
"California-Washington, California, US","(41.882742, -87.6962347, 0.0)"
"Lazio, Central Italy, Italy","(41.9186101, 12.4733123, 0.0)"
"California, California, US","(41.9221873, -87.697195, 0.0)"
"Monterrei, Galicia, Spain","(41.9467657, -7.4491474, 0.0)"
"Lake Erie, New York, US","(42.1432445, -81.2396642041535, 0.0)"
"Southern Oregon, Oregon, US","(42.186606850000004, -122.69679025359596, 0.0)"
"Applegate Valley, Oregon, US","(42.2570634, -123.1682392, 0.0)"
"Cava, Catalonia, Spain","(42.31658175, 1.6111496867672197, 0.0)"
"Ribeiro, Galicia, Spain","(42.31990645, -8.152266856014716, 0.0)"
"Michigan, Michigan, US","(42.33136, -83.0520837, 0.0)"
"Rías Baixas, Galicia, Spain","(42.4024738, -8.8083575, 0.0)"
"Abruzzo, Central Italy, Italy","(42.4618672, 14.2164764, 0.0)"
"Finger Lakes, New York, US","(42.5056751, -76.77237863157347, 0.0)"
"Ribeira Sacra, Galicia, Spain","(42.5195881, -7.5141181, 0.0)"
"Seneca Lake, New York, US","(42.62798415, -76.89641403030322, 0.0)"
"Cayuga Lake, New York, US","(42.697675950000004, -76.7126902611025, 0.0)"
"Morellino di Scansano, Tuscany, Italy","(42.712553650000004, 11.228051603392505, 0.0)"
"Tasmania, Tasmania, Australia","(-42.9070652, 147.32148477624992, 0.0)"
"Sant'Antimo, Tuscany, Italy","(42.9778888, 11.2998783, 0.0)"
"Orcia, Tuscany, Italy","(43.0201424, 11.6088904, 0.0)"
"Monteregio di Massa Marittima, Tuscany, Italy","(43.052084699999995, 10.889615415770738, 0.0)"
"Brunello di Montalcino, Tuscany, Italy","(43.0525059, 11.5049862, 0.0)"
"Rosso di Montalcino, Tuscany, Italy","(43.0546099, 11.3622147, 0.0)"
"Rosso di Toscana, Tuscany, Italy","(43.0573443, 11.608908449999994, 0.0)"
"Vino Nobile di Montepulciano, Tuscany, Italy","(43.0716141, 11.8054571, 0.0)"
"Val di Cornia Suvereto, Tuscany, Italy","(43.0719415, 10.7135421, 0.0)"
"Umbria, Central Italy, Italy","(43.1100952, 12.3898763, 0.0)"
"Bandol, Provence, France","(43.1357717, 5.7523647, 0.0)"
"St. David's Bench, Ontario, Canada","(43.1566694, -79.1078522, 0.0)"
"Beamsville Bench, Ontario, Canada","(43.1654577, -79.4751839, 0.0)"
"Bolgheri, Tuscany, Italy","(43.2340065, 10.6179334, 0.0)"
"Niagara Escarpment, Ontario, Canada","(43.2447011, -79.938325, 0.0)"
"Niagara-On-The-Lake, Ontario, Canada","(43.2556116, -79.0723264, 0.0)"
"Cortona, Tuscany, Italy","(43.2752976, 11.9850623, 0.0)"
"Jurançon Sec, Southwest France, France","(43.2871825, -0.3896425, 0.0)"
"Jurançon, Southwest France, France","(43.2871825, -0.3896425, 0.0)"
"Bergerac Rosé, Southwest France, France","(43.3079868, 5.3816721, 0.0)"
"Ohio, Ohio, US","(43.32243, -74.9786, 0.0)"
"Montescudaio, Tuscany, Italy","(43.3262785, 10.6269946, 0.0)"
"Umpqua Valley, Oregon, US","(43.3646201, -123.4707511, 0.0)"
"Chianti Classico, Tuscany, Italy","(43.3932476, 11.3086645, 0.0)"
"Var, Provence, France","(43.4173592, 6.2664620128919, 0.0)"
"Rasteau, Rhône Valley, France","(43.4451067, 5.3630444, 0.0)"
"Marche, Central Italy, Italy","(43.4496897, 13.39345, 0.0)"
"Côtes de Provence, Provence, France","(43.4499127, 6.656105192180794, 0.0)"
"San Gimignano, Tuscany, Italy","(43.4677993, 11.0432115, 0.0)"
"Vernaccia di San Gimignano, Tuscany, Italy","(43.4680172, 11.0419989, 0.0)"
"Palette, Provence, France","(43.5104611, 5.4889374, 0.0)"
"Alpilles, Provence, France","(43.5158728, 5.47209632746815, 0.0)"
"Toscana, Tuscany, Italy","(43.5248239, 11.9066895, 0.0)"
"Madiran, Southwest France, France","(43.5502022, -0.0580853, 0.0)"
"Elkton Oregon, Oregon, US","(43.6370577, -123.5673843, 0.0)"
"Saint-Mont, Southwest France, France","(43.6519486, -0.1506191, 0.0)"
"Assisi, Central Italy, Italy","(43.6534756, -79.41459718646617, 0.0)"
"Gers, Southwest France, France","(43.695527600000005, 0.4101019175237992, 0.0)"
"Chianti, Tuscany, Italy","(43.7043073, 11.1048413, 0.0)"
"Buzet, Southwest France, France","(43.7096644, -0.8313243, 0.0)"
"Montecucco, Tuscany, Italy","(43.7387516, 11.385991, 0.0)"
"Les Baux de Provence, Provence, France","(43.7436371, 4.795125, 0.0)"
"Maremma Toscana, Tuscany, Italy","(43.7697164, 11.2612205, 0.0)"
"Maremma, Tuscany, Italy","(43.7697164, 11.2612205, 0.0)"
"Tuscany, Tuscany, Italy","(43.7914419, 11.2239577, 0.0)"
"Barco Reale di Carmignano, Tuscany, Italy","(43.8139111, 11.019155, 0.0)"
"Carmignano, Tuscany, Italy","(43.8140654, 11.0190297, 0.0)"
"Pomino, Tuscany, Italy","(43.8151012, 11.5506357, 0.0)"
"Gard, Languedoc-Roussillon, France","(43.8228184, 4.3688296, 0.0)"
"Fronton, Southwest France, France","(43.840295, 1.390285, 0.0)"
"Montecarlo, Tuscany, Italy","(43.8511862, 10.6676214, 0.0)"
"Gaillac, Southwest France, France","(43.9016766, 1.8967943, 0.0)"
"Landes, Southwest France, France","(44.00996945, -0.6433872354467377, 0.0)"
"Prince Edward County, Ontario, Canada","(44.031827, -77.246933, 0.0)"
"Châteauneuf-du-Pape, Rhône Valley, France","(44.0382496, 4.845788, 0.0)"
"Oregon, Oregon, US","(44.0505054, -123.0950506, 0.0)"
"Beaumes-de-Venise, Rhône Valley, France","(44.1353808, 5.0447123, 0.0)"
"Costa Toscana, Tuscany, Italy","(44.2091823, 10.2612037, 0.0)"
"Forlì, Central Italy, Italy","(44.2246723, 12.2934906, 0.0)"
"Côtes du Tarn, Southwest France, France","(44.2365873, 1.7689625, 0.0)"
"Coteaux du Tricastin, Rhône Valley, France","(44.3459456, 4.7640609, 0.0)"
"Clairette de Die, Rhône Valley, France","(44.4073325, 4.1383248, 0.0)"
"Cahors, Southwest France, France","(44.4495, 1.4364999, 0.0)"
"Vermont, Vermont, US","(44.4737365, -73.19414679705882, 0.0)"
"Lot, Southwest France, France","(44.624991800000004, 1.6657742169753669, 0.0)"
"Romagna, Central Italy, Italy","(44.705595, 9.717744893877548, 0.0)"
"Emilia, Central Italy, Italy","(44.705595, 9.717744893877548, 0.0)"
"Asti, Piedmont, Italy","(44.7605629, 8.2998538, 0.0)"
"Pauillac, Bordeaux, France","(44.7760032, -0.6511306341351732, 0.0)"
"Graves, Bordeaux, France","(44.7760791, -0.6523275464905922, 0.0)"
"Médoc, Bordeaux, France","(44.7761268, -0.6517633127162602, 0.0)"
"Listrac, Bordeaux, France","(44.77638175, -0.6511353707567646, 0.0)"
"Côtes de Bordeaux, Bordeaux, France","(44.779179, -0.4610873, 0.0)"
"Saint-Julien, Bordeaux, France","(44.792984, -0.5040716, 0.0)"
"Monbazillac, Southwest France, France","(44.795, 0.4925, 0.0)"
"Saussignac, Southwest France, France","(44.8014957, 0.3264929, 0.0)"
"Bordeaux, Bordeaux, France","(44.841225, -0.5800364, 0.0)"
"Sauternes, Bordeaux, France","(44.8414205, -0.7997609, 0.0)"
"Fronsac, Bordeaux, France","(44.8424048, -0.799658, 0.0)"
"Bordeaux Rosé, Bordeaux, France","(44.8427203, -0.5813239, 0.0)"
"Cérons, Bordeaux, France","(44.844275, -0.7972605, 0.0)"
"Barsac, Bordeaux, France","(44.8443948, -0.7981731, 0.0)"
"Entre-Deux-Mers, Bordeaux, France","(44.845146, -0.5326435, 0.0)"
"Margaux, Bordeaux, France","(44.8464734, -0.7908978, 0.0)"
"Sainte-Foy Bordeaux, Bordeaux, France","(44.8489497, -0.5728811, 0.0)"
"Bergerac, Southwest France, France","(44.8534568, 0.487531, 0.0)"
"Bergerac Sec, Southwest France, France","(44.857158, 0.48908932660446847, 0.0)"
"Montravel, Southwest France, France","(44.8599738, 0.0533919, 0.0)"
"Côtes de Bergerac, Southwest France, France","(44.8617149, 0.5021455, 0.0)"
"Haut-Médoc, Bordeaux, France","(44.8735122, -0.636612, 0.0)"
